mm-yyyy,mm/yyyy,yyyy-mm,mmm_yyyy,Date,Location,Covid_Vacs_Administered,Covid_Vacs_Administered (In thousands),Covid_Vacs_Administered (in millions),MMWR_week
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,AK,14550,14.55,0.01,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,AK,119590,119.59,0.12,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,AK,264741,264.74,0.26,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,AK,407233,407.23,0.41,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,AK,552792,552.79,0.55,17
May-21,May-21,2021/05,May-21,5/31/2021,AK,612275,612.28,0.61,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,AK,658672,658.67,0.66,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,AK,683394,683.39,0.68,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,AL,26711,26.71,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,AL,353974,353.97,0.35,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,AL,942502,942.5,0.94,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,AL,1728736,1728.74,1.73,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,AL,2591163,2591.16,2.59,17
May-21,May-21,2021/05,May-21,5/31/2021,AL,3021902,3021.9,3.02,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,AL,3350607,3350.61,3.35,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,AL,3422020,3422.02,3.42,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,AR,33802,33.8,0.03,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,AR,303793,303.79,0.3,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,AR,649311,649.31,0.65,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,AR,1183295,1183.3,1.18,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,AR,1787295,1787.3,1.79,17
May-21,May-21,2021/05,May-21,5/31/2021,AR,2079708,2079.71,2.08,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,AR,2229874,2229.87,2.23,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,AR,2290025,2290.03,2.29,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,AS,972,0.97,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,AS,9925,9.93,0.01,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,AS,20338,20.34,0.02,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,AS,31167,31.17,0.03,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,AS,38743,38.74,0.04,17
May-21,May-21,2021/05,May-21,5/31/2021,AS,42511,42.51,0.04,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,AS,46103,46.1,0.05,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,AS,48178,48.18,0.05,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,AZ,43667,43.67,0.04,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,AZ,594104,594.1,0.59,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,AZ,1792447,1792.45,1.79,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,AZ,3451567,3451.57,3.45,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,AZ,5070403,5070.4,5.07,17
May-21,May-21,2021/05,May-21,5/31/2021,AZ,5967929,5967.93,5.97,22
