Series ID,Year,Period,Label,Value
CES5000000001,2019,M01,2019 Jan,2840
CES5000000001,2019,M02,2019 Feb,2838
CES5000000001,2019,M03,2019 Mar,2849
CES5000000001,2019,M04,2019 Apr,2845
CES5000000001,2019,M05,2019 May,2854
CES5000000001,2019,M06,2019 Jun,2868
CES5000000001,2019,M07,2019 Jul,2868
CES5000000001,2019,M08,2019 Aug,2870
CES5000000001,2019,M09,2019 Sep,2874
CES5000000001,2019,M10,2019 Oct,2876
CES5000000001,2019,M11,2019 Nov,2886
CES5000000001,2019,M12,2019 Dec,2897
CES5000000001,2020,M01,2020 Jan,2910
CES5000000001,2020,M02,2020 Feb,2914
CES5000000001,2020,M03,2020 Mar,2898
CES5000000001,2020,M04,2020 Apr,2633
CES5000000001,2020,M05,2020 May,2594
CES5000000001,2020,M06,2020 Jun,2602
CES5000000001,2020,M07,2020 Jul,2592
CES5000000001,2020,M08,2020 Aug,2617
CES5000000001,2020,M09,2020 Sep,2659
CES5000000001,2020,M10,2020 Oct,2650
CES5000000001,2020,M11,2020 Nov,2650
CES5000000001,2020,M12,2020 Dec,2659
CES5000000001,2021,M01,2021 Jan,2672
CES5000000001,2021,M02,2021 Feb,2678
CES5000000001,2021,M03,2021 Mar,2683
CES5000000001,2021,M04,2021 Apr,2694
CES5000000001,2021,M05,2021 May,2722
CES5000000001,2021,M06,2021 Jun,2736
