Series ID,Year,Period,Label,Value
CES9000000001,2019,M01,2019 Jan,22517
CES9000000001,2019,M02,2019 Feb,22497
CES9000000001,2019,M03,2019 Mar,22524
CES9000000001,2019,M04,2019 Apr,22563
CES9000000001,2019,M05,2019 May,22556
CES9000000001,2019,M06,2019 Jun,22562
CES9000000001,2019,M07,2019 Jul,22607
CES9000000001,2019,M08,2019 Aug,22663
CES9000000001,2019,M09,2019 Sep,22690
CES9000000001,2019,M10,2019 Oct,22692
CES9000000001,2019,M11,2019 Nov,22716
CES9000000001,2019,M12,2019 Dec,22729
CES9000000001,2020,M01,2020 Jan,22789
CES9000000001,2020,M02,2020 Feb,22835
CES9000000001,2020,M03,2020 Mar,22774
CES9000000001,2020,M04,2020 Apr,21826
CES9000000001,2020,M05,2020 May,21314
CES9000000001,2020,M06,2020 Jun,21353
CES9000000001,2020,M07,2020 Jul,21556
CES9000000001,2020,M08,2020 Aug,22073
CES9000000001,2020,M09,2020 Sep,21857
CES9000000001,2020,M10,2020 Oct,21583
CES9000000001,2020,M11,2020 Nov,21488
CES9000000001,2020,M12,2020 Dec,21456
CES9000000001,2021,M01,2021 Jan,21567
CES9000000001,2021,M02,2021 Feb,21481
CES9000000001,2021,M03,2021 Mar,21542
CES9000000001,2021,M04,2021 Apr,21585
CES9000000001,2021,M05,2021 May,21652
CES9000000001,2021,M06,2021 Jun,21840
