Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS13000000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Unemployment Level,,,,,,,,,,,
Labor force status:,Unemployed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,2011 to 2021,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,14013,13820,13737,13957,13855,13962,13763,13818,13948,13594,13302,13093
2012,12797,12813,12713,12646,12660,12692,12656,12471,12115,12124,12005,12298
2013,12471,11950,11689,11760,11654,11751,11335,11279,11270,11136,10787,10404
2014,10202,10349,10380,9702,9859,9460,9608,9599,9262,8990,9090,8717
2015,8885,8599,8515,8550,8834,8247,8167,7992,7907,7922,8000,7907
2016,7627,7702,7961,8067,7652,7744,7641,7784,7953,7811,7553,7521
2017,7466,7376,7119,7196,7020,6861,6825,7079,6840,6620,6759,6632
2018,6496,6590,6499,6551,6209,6432,6130,6167,6037,6164,6115,6379
2019,6442,6128,6201,5995,5965,5914,5969,6000,5728,5922,5907,5844
2020,5796,5717,7185,23109,20975,17697,16308,13542,12535,11049,10728,10736
2021,10130,9972,9710,9812,9316,9484,,,,,,
