Series ID,Year,Period,Label,Value
LNS14000006,2019,M01,2019 Jan,6.9
LNS14000006,2019,M02,2019 Feb,7.0
LNS14000006,2019,M03,2019 Mar,6.5
LNS14000006,2019,M04,2019 Apr,6.6
LNS14000006,2019,M05,2019 May,6.1
LNS14000006,2019,M06,2019 Jun,6.0
LNS14000006,2019,M07,2019 Jul,5.6
LNS14000006,2019,M08,2019 Aug,5.2
LNS14000006,2019,M09,2019 Sep,5.4
LNS14000006,2019,M10,2019 Oct,5.6
LNS14000006,2019,M11,2019 Nov,5.7
LNS14000006,2019,M12,2019 Dec,6.2
LNS14000006,2020,M01,2020 Jan,6.1
LNS14000006,2020,M02,2020 Feb,6.0
LNS14000006,2020,M03,2020 Mar,6.8
LNS14000006,2020,M04,2020 Apr,16.7
LNS14000006,2020,M05,2020 May,16.7
LNS14000006,2020,M06,2020 Jun,15.3
LNS14000006,2020,M07,2020 Jul,14.4
LNS14000006,2020,M08,2020 Aug,12.8
LNS14000006,2020,M09,2020 Sep,12.0
LNS14000006,2020,M10,2020 Oct,10.8
LNS14000006,2020,M11,2020 Nov,10.3
LNS14000006,2020,M12,2020 Dec,9.9
LNS14000006,2021,M01,2021 Jan,9.2
LNS14000006,2021,M02,2021 Feb,9.9
LNS14000006,2021,M03,2021 Mar,9.6
LNS14000006,2021,M04,2021 Apr,9.7
LNS14000006,2021,M05,2021 May,9.1
LNS14000006,2021,M06,2021 Jun,9.2
