Series ID,Year,Period,Label,Value
LNS14032183,2019,M01,2019 Jan,3.0
LNS14032183,2019,M02,2019 Feb,3.1
LNS14032183,2019,M03,2019 Mar,3.1
LNS14032183,2019,M04,2019 Apr,2.3
LNS14032183,2019,M05,2019 May,2.5
LNS14032183,2019,M06,2019 Jun,2.2
LNS14032183,2019,M07,2019 Jul,2.8
LNS14032183,2019,M08,2019 Aug,2.8
LNS14032183,2019,M09,2019 Sep,2.5
LNS14032183,2019,M10,2019 Oct,2.9
LNS14032183,2019,M11,2019 Nov,2.6
LNS14032183,2019,M12,2019 Dec,2.6
LNS14032183,2020,M01,2020 Jan,3.1
LNS14032183,2020,M02,2020 Feb,2.4
LNS14032183,2020,M03,2020 Mar,4.1
LNS14032183,2020,M04,2020 Apr,14.5
LNS14032183,2020,M05,2020 May,14.9
LNS14032183,2020,M06,2020 Jun,13.9
LNS14032183,2020,M07,2020 Jul,11.9
LNS14032183,2020,M08,2020 Aug,10.6
LNS14032183,2020,M09,2020 Sep,8.8
LNS14032183,2020,M10,2020 Oct,7.6
LNS14032183,2020,M11,2020 Nov,6.7
LNS14032183,2020,M12,2020 Dec,5.9
LNS14032183,2021,M01,2021 Jan,6.6
LNS14032183,2021,M02,2021 Feb,5.1
LNS14032183,2021,M03,2021 Mar,6.0
LNS14032183,2021,M04,2021 Apr,5.7
LNS14032183,2021,M05,2021 May,5.5
LNS14032183,2021,M06,2021 Jun,5.8
