Series ID,Year,Period,Label,Value
LNS14000009,2019,M01,2019 Jan,4.8
LNS14000009,2019,M02,2019 Feb,4.3
LNS14000009,2019,M03,2019 Mar,4.5
LNS14000009,2019,M04,2019 Apr,4.1
LNS14000009,2019,M05,2019 May,4.1
LNS14000009,2019,M06,2019 Jun,4.3
LNS14000009,2019,M07,2019 Jul,4.4
LNS14000009,2019,M08,2019 Aug,4.2
LNS14000009,2019,M09,2019 Sep,4.0
LNS14000009,2019,M10,2019 Oct,4.2
LNS14000009,2019,M11,2019 Nov,4.3
LNS14000009,2019,M12,2019 Dec,4.3
LNS14000009,2020,M01,2020 Jan,4.3
LNS14000009,2020,M02,2020 Feb,4.4
LNS14000009,2020,M03,2020 Mar,6.0
LNS14000009,2020,M04,2020 Apr,18.9
LNS14000009,2020,M05,2020 May,17.6
LNS14000009,2020,M06,2020 Jun,14.5
LNS14000009,2020,M07,2020 Jul,12.7
LNS14000009,2020,M08,2020 Aug,10.5
LNS14000009,2020,M09,2020 Sep,10.3
LNS14000009,2020,M10,2020 Oct,8.8
LNS14000009,2020,M11,2020 Nov,8.4
LNS14000009,2020,M12,2020 Dec,9.3
LNS14000009,2021,M01,2021 Jan,8.6
LNS14000009,2021,M02,2021 Feb,8.5
LNS14000009,2021,M03,2021 Mar,7.9
LNS14000009,2021,M04,2021 Apr,7.9
LNS14000009,2021,M05,2021 May,7.3
LNS14000009,2021,M06,2021 Jun,7.4
