Series ID,Year,Period,Label,Value
CES6500000001,2019,M01,2019 Jan,23899
CES6500000001,2019,M02,2019 Feb,23914
CES6500000001,2019,M03,2019 Mar,23978
CES6500000001,2019,M04,2019 Apr,24041
CES6500000001,2019,M05,2019 May,24074
CES6500000001,2019,M06,2019 Jun,24119
CES6500000001,2019,M07,2019 Jul,24184
CES6500000001,2019,M08,2019 Aug,24246
CES6500000001,2019,M09,2019 Sep,24305
CES6500000001,2019,M10,2019 Oct,24340
CES6500000001,2019,M11,2019 Nov,24406
CES6500000001,2019,M12,2019 Dec,24433
CES6500000001,2020,M01,2020 Jan,24513
CES6500000001,2020,M02,2020 Feb,24565
CES6500000001,2020,M03,2020 Mar,24347
CES6500000001,2020,M04,2020 Apr,21722
CES6500000001,2020,M05,2020 May,22107
CES6500000001,2020,M06,2020 Jun,22671
CES6500000001,2020,M07,2020 Jul,22885
CES6500000001,2020,M08,2020 Aug,23084
CES6500000001,2020,M09,2020 Sep,23152
CES6500000001,2020,M10,2020 Oct,23235
CES6500000001,2020,M11,2020 Nov,23278
CES6500000001,2020,M12,2020 Dec,23249
CES6500000001,2021,M01,2021 Jan,23235
CES6500000001,2021,M02,2021 Feb,23292
CES6500000001,2021,M03,2021 Mar,23396
CES6500000001,2021,M04,2021 Apr,23419
CES6500000001,2021,M05,2021 May,23478
CES6500000001,2021,M06,2021 Jun,23537
