Series ID,Year,Period,Label,Value
CES7072200001,2019,M01,2019 Jan,12011.6
CES7072200001,2019,M02,2019 Feb,11976.6
CES7072200001,2019,M03,2019 Mar,11990.5
CES7072200001,2019,M04,2019 Apr,12013.8
CES7072200001,2019,M05,2019 May,12019.7
CES7072200001,2019,M06,2019 Jun,12026.5
CES7072200001,2019,M07,2019 Jul,12034.3
CES7072200001,2019,M08,2019 Aug,12071.1
CES7072200001,2019,M09,2019 Sep,12116
CES7072200001,2019,M10,2019 Oct,12165.9
CES7072200001,2019,M11,2019 Nov,12192.8
CES7072200001,2019,M12,2019 Dec,12210.3
CES7072200001,2020,M01,2020 Jan,12246.7
CES7072200001,2020,M02,2020 Feb,12308.1
CES7072200001,2020,M03,2020 Mar,11676.3
CES7072200001,2020,M04,2020 Apr,6333.4
CES7072200001,2020,M05,2020 May,7832.5
CES7072200001,2020,M06,2020 Jun,9310.9
CES7072200001,2020,M07,2020 Jul,9842.5
CES7072200001,2020,M08,2020 Aug,9947.8
CES7072200001,2020,M09,2020 Sep,10187.1
CES7072200001,2020,M10,2020 Oct,10386.8
CES7072200001,2020,M11,2020 Nov,10362
CES7072200001,2020,M12,2020 Dec,9996.9
CES7072200001,2021,M01,2021 Jan,10019
CES7072200001,2021,M02,2021 Feb,10355.6
CES7072200001,2021,M03,2021 Mar,10474.2
CES7072200001,2021,M04,2021 Apr,10642.2
CES7072200001,2021,M05,2021 May,10843.6
CES7072200001,2021,M06,2021 Jun,11037.9
