Series ID,Year,Period,Label,Value
CES7000000001,2019,M01,2019 Jan,16496
CES7000000001,2019,M02,2019 Feb,16466
CES7000000001,2019,M03,2019 Mar,16488
CES7000000001,2019,M04,2019 Apr,16507
CES7000000001,2019,M05,2019 May,16514
CES7000000001,2019,M06,2019 Jun,16524
CES7000000001,2019,M07,2019 Jul,16535
CES7000000001,2019,M08,2019 Aug,16580
CES7000000001,2019,M09,2019 Sep,16648
CES7000000001,2019,M10,2019 Oct,16727
CES7000000001,2019,M11,2019 Nov,16769
CES7000000001,2019,M12,2019 Dec,16811
CES7000000001,2020,M01,2020 Jan,16858
CES7000000001,2020,M02,2020 Feb,16915
CES7000000001,2020,M03,2020 Mar,16133
CES7000000001,2020,M04,2020 Apr,8691
CES7000000001,2020,M05,2020 May,10146
CES7000000001,2020,M06,2020 Jun,12158
CES7000000001,2020,M07,2020 Jul,12824
CES7000000001,2020,M08,2020 Aug,12963
CES7000000001,2020,M09,2020 Sep,13357
CES7000000001,2020,M10,2020 Oct,13622
CES7000000001,2020,M11,2020 Nov,13632
CES7000000001,2020,M12,2020 Dec,13134
CES7000000001,2021,M01,2021 Jan,13117
CES7000000001,2021,M02,2021 Feb,13530
CES7000000001,2021,M03,2021 Mar,13757
CES7000000001,2021,M04,2021 Apr,14085
CES7000000001,2021,M05,2021 May,14391
CES7000000001,2021,M06,2021 Jun,14734
