Series ID,Year,Period,Label,Value
CES0600000001,2019,M01,2019 Jan,21020
CES0600000001,2019,M02,2019 Feb,20986
CES0600000001,2019,M03,2019 Mar,21005
CES0600000001,2019,M04,2019 Apr,21033
CES0600000001,2019,M05,2019 May,21033
CES0600000001,2019,M06,2019 Jun,21055
CES0600000001,2019,M07,2019 Jul,21050
CES0600000001,2019,M08,2019 Aug,21045
CES0600000001,2019,M09,2019 Sep,21056
CES0600000001,2019,M10,2019 Oct,21032
CES0600000001,2019,M11,2019 Nov,21071
CES0600000001,2019,M12,2019 Dec,21060
CES0600000001,2020,M01,2020 Jan,21096
CES0600000001,2020,M02,2020 Feb,21137
CES0600000001,2020,M03,2020 Mar,20949
CES0600000001,2020,M04,2020 Apr,18571
CES0600000001,2020,M05,2020 May,19262
CES0600000001,2020,M06,2020 Jun,19767
CES0600000001,2020,M07,2020 Jul,19827
CES0600000001,2020,M08,2020 Aug,19880
CES0600000001,2020,M09,2020 Sep,19971
CES0600000001,2020,M10,2020 Oct,20078
CES0600000001,2020,M11,2020 Nov,20146
CES0600000001,2020,M12,2020 Dec,20228
CES0600000001,2021,M01,2021 Jan,20221
CES0600000001,2021,M02,2021 Feb,20201
CES0600000001,2021,M03,2021 Mar,20360
CES0600000001,2021,M04,2021 Apr,20319
CES0600000001,2021,M05,2021 May,20338
CES0600000001,2021,M06,2021 Jun,20358
